id,duration,start_date,start_station_name,start_station_id,end_date,end_station_name,end_station_id,bike_id,subscription_type,zip_code
747812,1169,4/30/2015 15:24,Harry Bridges Plaza (Ferry Building),50,4/30/2015 15:43,Powell at Post (Union Square),71,33,Customer,60607
372052,533,7/21/2014 8:08,Temporary Transbay Terminal (Howard at Beale),55,7/21/2014 8:17,Broadway St at Battery St,82,325,Subscriber,94602
708379,1014,4/1/2015 19:09,San Francisco Caltrain (Townsend at 4th),70,4/1/2015 19:25,Davis at Jackson,42,484,Subscriber,94111
44357,530,10/3/2013 13:27,Civic Center BART (7th at Market),72,10/3/2013 13:35,2nd at Townsend,61,283,Customer,6878
516214,302,10/27/2014 7:15,Steuart at Market,74,10/27/2014 7:20,Embarcadero at Vallejo,48,617,Subscriber,94611
205002,333,3/7/2014 8:24,Cowper at University,37,3/7/2014 8:30,Palo Alto Caltrain Station,34,178,Subscriber,94301
82218,423,11/4/2013 8:08,Grant Avenue at Columbus Avenue,73,11/4/2013 8:15,Temporary Transbay Terminal (Howard at Beale),55,545,Subscriber,94133
229598,504,3/28/2014 6:53,San Francisco Caltrain 2 (330 Townsend),69,3/28/2014 7:01,Howard at 2nd,63,606,Subscriber,94107
800798,367,6/9/2015 18:43,Clay at Battery,41,6/9/2015 18:49,Howard at 2nd,63,437,Subscriber,94105
228712,260,3/27/2014 11:51,San Jose City Hall,10,3/27/2014 11:55,San Salvador at 1st,8,16,Subscriber,95113
757927,553,5/7/2015 17:41,Powell Street BART,39,5/7/2015 17:51,Washington at Kearny,46,385,Subscriber,94133
896416,821,8/19/2015 9:50,Steuart at Market,74,8/19/2015 10:03,Golden Gate at Polk,59,528,Subscriber,94610
30842,4269,9/22/2013 17:55,Commercial at Montgomery,45,9/22/2013 19:06,Grant Avenue at Columbus Avenue,73,390,Customer,94133
695993,352,3/24/2015 18:16,Townsend at 7th,65,3/24/2015 18:21,Civic Center BART (7th at Market),72,354,Subscriber,94518
106245,673,11/24/2013 12:07,Market at Sansome,77,11/24/2013 12:18,San Francisco Caltrain (Townsend at 4th),70,454,Customer,9410
826583,871,6/29/2015 11:09,Golden Gate at Polk,59,6/29/2015 11:24,Temporary Transbay Terminal (Howard at Beale),55,441,Subscriber,94109
572613,252,12/10/2014 7:53,Embarcadero at Sansome,60,12/10/2014 7:57,Davis at Jackson,42,384,Subscriber,94111
606810,743,1/16/2015 8:45,Embarcadero at Folsom,51,1/16/2015 8:57,San Francisco Caltrain (Townsend at 4th),70,491,Subscriber,94501
28289,373,9/20/2013 7:59,Spear at Folsom,49,9/20/2013 8:06,Embarcadero at Vallejo,48,544,Subscriber,94105
643721,521,2/13/2015 17:33,San Jose Diridon Caltrain Station,2,2/13/2015 17:42,Paseo de San Antonio,7,180,Subscriber,95113
134309,217,12/23/2013 15:13,Embarcadero at Vallejo,48,12/23/2013 15:17,Harry Bridges Plaza (Ferry Building),50,393,Subscriber,94550
146088,1067,1/8/2014 8:24,Grant Avenue at Columbus Avenue,73,1/8/2014 8:42,2nd at Townsend,61,390,Subscriber,94133
793821,296,6/4/2015 9:42,2nd at Folsom,62,6/4/2015 9:47,2nd at Townsend,61,559,Subscriber,94105
696890,792,3/25/2015 9:21,2nd at Townsend,61,3/25/2015 9:34,Broadway St at Battery St,82,585,Subscriber,95111
632680,1017,2/5/2015 8:14,San Francisco Caltrain (Townsend at 4th),70,2/5/2015 8:31,Embarcadero at Sansome,60,475,Subscriber,94401
811268,175,6/17/2015 17:06,Townsend at 7th,65,6/17/2015 17:09,San Francisco Caltrain 2 (330 Townsend),69,385,Subscriber,94086
652835,513,2/21/2015 16:11,Grant Avenue at Columbus Avenue,73,2/21/2015 16:20,Market at 4th,76,464,Customer,94015
226811,201,3/25/2014 17:32,San Francisco Caltrain 2 (330 Townsend),69,3/25/2014 17:35,Townsend at 7th,65,488,Subscriber,94014
200881,430,3/4/2014 8:44,Temporary Transbay Terminal (Howard at Beale),55,3/4/2014 8:51,5th at Howard,57,382,Subscriber,94618
387277,652,7/30/2014 17:19,Steuart at Market,74,7/30/2014 17:30,San Francisco Caltrain (Townsend at 4th),70,495,Subscriber,94401
52268,653,10/9/2013 22:25,Market at 10th,67,10/9/2013 22:36,Washington at Kearney,46,492,Subscriber,94133
